filename,ui_length,trial_limit,seed,trials_needed,max_coverage,branch_coverage,time_taken,genotype,phenotype
LoveOMeter.py,12,1000,0,1000,89.28571428571429,75,189.9255826473236,"[[1745, 254], [412, 599], [896, 185], [303, 109], [509, 772], [490, 1602], [374, 1516], [475, 149], [88, 797], [757, 507], [1962, 862], [250, 93]]","set_value_254 Temperature sensor at pin0, None do_nothing, None do_nothing, set_value_109 Temperature sensor at pin0, set_value_772 Temperature sensor at pin0, None do_nothing, None do_nothing, set_value_149 Temperature sensor at pin0, None do_nothing, set_value_507 Temperature sensor at pin0, None do_nothing, None do_nothing"
LoveOMeter.py,12,1000,1,1000,89.28571428571429,75,184.99240136146545,"[[1547, 690], [949, 965], [1161, 1894], [1595, 867], [1850, 1056], [1352, 2032], [454, 875], [322, 189], [63, 21], [1967, 1308], [1569, 1176], [802, 1638]]","set_value_690 Temperature sensor at pin0, set_value_965 Temperature sensor at pin0, set_value_870 Temperature sensor at pin0, set_value_867 Temperature sensor at pin0, None do_nothing, None do_nothing, None do_nothing, None do_nothing, set_value_21 Temperature sensor at pin0, set_value_284 Temperature sensor at pin0, set_value_152 Temperature sensor at pin0, None do_nothing"
LoveOMeter.py,12,1000,2,1000,89.28571428571429,75,213.68992066383362,"[[720, 585], [1859, 257], [1093, 605], [1981, 306], [1197, 1173], [111, 853], [318, 1708], [514, 763], [1262, 1900], [811, 160], [1383, 1881], [255, 630]]","None do_nothing, set_value_257 Temperature sensor at pin0, set_value_605 Temperature sensor at pin0, set_value_306 Temperature sensor at pin0, set_value_149 Temperature sensor at pin0, set_value_853 Temperature sensor at pin0, None do_nothing, None do_nothing, None do_nothing, set_value_160 Temperature sensor at pin0, set_value_857 Temperature sensor at pin0, set_value_630 Temperature sensor at pin0"
LoveOMeter.py,12,1000,3,412,100.0,100,39.24181365966797,"[[567, 152], [411, 1267], [1679, 37], [385, 148], [490, 786], [49, 216], [1364, 327], [872, 884], [1711, 700], [178, 1186], [1699, 504], [475, 883]]","set_value_152 Temperature sensor at pin0, set_value_243 Temperature sensor at pin0, set_value_37 Temperature sensor at pin0, set_value_148 Temperature sensor at pin0, None do_nothing, set_value_216 Temperature sensor at pin0, None do_nothing, None do_nothing, set_value_700 Temperature sensor at pin0, None do_nothing, set_value_504 Temperature sensor at pin0, set_value_883 Temperature sensor at pin0"
LoveOMeter.py,12,1000,4,1000,89.28571428571429,75,102.52508902549744,"[[706, 769], [438, 1945], [1461, 1249], [1693, 152], [868, 1047], [1259, 1955], [1389, 341], [966, 1294], [424, 156], [1320, 1950], [1446, 333], [725, 176]]","None do_nothing, None do_nothing, set_value_225 Temperature sensor at pin0, set_value_152 Temperature sensor at pin0, None do_nothing, set_value_931 Temperature sensor at pin0, set_value_341 Temperature sensor at pin0, None do_nothing, None do_nothing, None do_nothing, None do_nothing, set_value_176 Temperature sensor at pin0"
LoveOMeter.py,12,1000,5,1000,89.28571428571429,75,93.06861019134521,"[[191, 741], [804, 487], [1007, 1893], [1410, 1453], [1027, 1895], [442, 1504], [1211, 150], [1773, 373], [853, 1395], [1485, 607], [1392, 1129], [377, 1279]]","set_value_741 Temperature sensor at pin0, None do_nothing, set_value_869 Temperature sensor at pin0, None do_nothing, set_value_871 Temperature sensor at pin0, None do_nothing, set_value_150 Temperature sensor at pin0, set_value_373 Temperature sensor at pin0, set_value_371 Temperature sensor at pin0, set_value_607 Temperature sensor at pin0, None do_nothing, set_value_255 Temperature sensor at pin0"
LoveOMeter.py,12,1000,6,72,100.0,100,5.86272668838501,"[[779, 1144], [1745, 353], [1331, 150], [1365, 173], [1289, 492], [1145, 521], [1418, 1220], [971, 1786], [1248, 217], [87, 1179], [1411, 1685], [1816, 1600]]","set_value_120 Temperature sensor at pin0, set_value_353 Temperature sensor at pin0, set_value_150 Temperature sensor at pin0, set_value_173 Temperature sensor at pin0, set_value_492 Temperature sensor at pin0, set_value_521 Temperature sensor at pin0, None do_nothing, set_value_762 Temperature sensor at pin0, None do_nothing, set_value_155 Temperature sensor at pin0, set_value_661 Temperature sensor at pin0, None do_nothing"
LoveOMeter.py,12,1000,7,1000,89.28571428571429,75,86.04166841506958,"[[1326, 617], [1617, 197], [296, 385], [1497, 237], [879, 153], [352, 1776], [1712, 286], [985, 371], [1738, 242], [507, 914], [253, 1624], [203, 905]]","None do_nothing, set_value_197 Temperature sensor at pin0, None do_nothing, set_value_237 Temperature sensor at pin0, set_value_153 Temperature sensor at pin0, None do_nothing, None do_nothing, set_value_371 Temperature sensor at pin0, None do_nothing, set_value_914 Temperature sensor at pin0, set_value_600 Temperature sensor at pin0, set_value_905 Temperature sensor at pin0"
LoveOMeter.py,12,1000,8,1000,89.28571428571429,75,102.01250529289246,"[[1446, 1119], [1819, 1067], [1418, 1237], [555, 1489], [1872, 1821], [938, 1309], [350, 1056], [5, 1177], [1403, 479], [1119, 62], [0, 1912], [1645, 821]]","None do_nothing, set_value_43 Temperature sensor at pin0, None do_nothing, set_value_465 Temperature sensor at pin0, None do_nothing, None do_nothing, None do_nothing, set_value_153 Temperature sensor at pin0, set_value_479 Temperature sensor at pin0, set_value_62 Temperature sensor at pin0, None do_nothing, set_value_821 Temperature sensor at pin0"
LoveOMeter.py,12,1000,9,1000,89.28571428571429,75,83.06281447410583,"[[1296, 1462], [202, 1892], [1834, 1663], [163, 150], [457, 1288], [1261, 1898], [1611, 226], [1068, 578], [1481, 1366], [1246, 1677], [1651, 1966], [1878, 1056]]","None do_nothing, None do_nothing, None do_nothing, set_value_150 Temperature sensor at pin0, set_value_264 Temperature sensor at pin0, set_value_874 Temperature sensor at pin0, set_value_226 Temperature sensor at pin0, None do_nothing, set_value_342 Temperature sensor at pin0, None do_nothing, set_value_942 Temperature sensor at pin0, None do_nothing"
