filename,ui_length,pp_size,seed,generations,time_taken,genotype,phenotype,coverage,branch_coverage
LoveOMeter.py,12,10,0,51,9.725992441177368,"[(5, 653), (1752, 909), (1587, 1177), (1931, 1678), (1080, 1895), (857, 775), (629, 509), (949, 1173), (1547, 657), (179, 690), (1923, 1178), (371, 312)]","set_value_653 Temperature sensor at pin0, None do_nothing, set_value_153 Temperature sensor at pin0, set_value_654 Temperature sensor at pin0, None do_nothing, set_value_775 Temperature sensor at pin0, set_value_509 Temperature sensor at pin0, set_value_149 Temperature sensor at pin0, set_value_657 Temperature sensor at pin0, set_value_690 Temperature sensor at pin0, set_value_154 Temperature sensor at pin0, set_value_312 Temperature sensor at pin0",100.0,100
LoveOMeter.py,12,10,1,90,17.002635717391968,"[(28, 1507), (274, 1812), (1822, 629), (174, 1731), (665, 156), (1983, 155), (308, 99), (25, 993), (1737, 148), (695, 682), (872, 1097), (1360, 1045)]","None do_nothing, None do_nothing, None do_nothing, None do_nothing, set_value_156 Temperature sensor at pin0, set_value_155 Temperature sensor at pin0, None do_nothing, set_value_993 Temperature sensor at pin0, set_value_148 Temperature sensor at pin0, set_value_682 Temperature sensor at pin0, None do_nothing, None do_nothing",100.0,100
LoveOMeter.py,12,10,2,33,6.380899667739868,"[(128, 1010), (1529, 1604), (1897, 572), (1940, 2006), (1763, 986), (860, 1776), (1743, 87), (557, 179), (847, 153), (1965, 1499), (1305, 1887), (1617, 148)]","None do_nothing, set_value_580 Temperature sensor at pin0, set_value_572 Temperature sensor at pin0, None do_nothing, set_value_986 Temperature sensor at pin0, None do_nothing, set_value_87 Temperature sensor at pin0, set_value_179 Temperature sensor at pin0, set_value_153 Temperature sensor at pin0, set_value_475 Temperature sensor at pin0, set_value_863 Temperature sensor at pin0, set_value_148 Temperature sensor at pin0",100.0,100
LoveOMeter.py,12,10,3,28,5.446380376815796,"[(1863, 148), (1072, 1276), (1935, 1652), (128, 808), (308, 1675), (197, 1842), (1772, 1278), (1509, 1179), (811, 1180), (487, 181), (798, 1635), (817, 162)]","set_value_148 Temperature sensor at pin0, None do_nothing, set_value_628 Temperature sensor at pin0, None do_nothing, None do_nothing, set_value_818 Temperature sensor at pin0, None do_nothing, set_value_155 Temperature sensor at pin0, set_value_156 Temperature sensor at pin0, set_value_181 Temperature sensor at pin0, None do_nothing, set_value_162 Temperature sensor at pin0",100.0,100
LoveOMeter.py,12,10,4,28,5.534217119216919,"[(167, 320), (215, 1586), (1317, 768), (19, 1813), (1013, 1939), (1146, 365), (1093, 149), (575, 1179), (799, 1695), (513, 1080), (649, 743), (740, 1370)]","set_value_320 Temperature sensor at pin0, set_value_562 Temperature sensor at pin0, set_value_768 Temperature sensor at pin0, set_value_789 Temperature sensor at pin0, set_value_915 Temperature sensor at pin0, None do_nothing, set_value_149 Temperature sensor at pin0, set_value_155 Temperature sensor at pin0, set_value_671 Temperature sensor at pin0, set_value_56 Temperature sensor at pin0, set_value_743 Temperature sensor at pin0, None do_nothing",100.0,100
LoveOMeter.py,12,10,5,18,3.621297597885132,"[(113, 801), (655, 1806), (349, 1193), (1783, 703), (1027, 1895), (655, 1608), (1211, 150), (709, 206), (1985, 564), (1919, 154), (1392, 1129), (377, 1279)]","set_value_801 Temperature sensor at pin0, set_value_782 Temperature sensor at pin0, set_value_169 Temperature sensor at pin0, set_value_703 Temperature sensor at pin0, set_value_871 Temperature sensor at pin0, set_value_584 Temperature sensor at pin0, set_value_150 Temperature sensor at pin0, set_value_206 Temperature sensor at pin0, set_value_564 Temperature sensor at pin0, set_value_154 Temperature sensor at pin0, None do_nothing, set_value_255 Temperature sensor at pin0",100.0,100
LoveOMeter.py,12,10,6,28,5.528581380844116,"[(1331, 150), (807, 1192), (399, 187), (822, 1476), (838, 26), (1002, 549), (1003, 1760), (1246, 1463), (489, 367), (221, 88), (965, 1176), (1132, 1955)]","set_value_150 Temperature sensor at pin0, set_value_168 Temperature sensor at pin0, set_value_187 Temperature sensor at pin0, None do_nothing, None do_nothing, None do_nothing, set_value_736 Temperature sensor at pin0, None do_nothing, set_value_367 Temperature sensor at pin0, set_value_88 Temperature sensor at pin0, set_value_152 Temperature sensor at pin0, None do_nothing",100.0,100
LoveOMeter.py,12,10,7,100,19.05580234527588,"[(5, 189), (1617, 197), (296, 385), (1922, 1749), (879, 153), (352, 1776), (597, 1268), (2022, 241), (1991, 434), (1196, 276), (962, 575), (1856, 551)]","set_value_189 Temperature sensor at pin0, set_value_197 Temperature sensor at pin0, None do_nothing, None do_nothing, set_value_153 Temperature sensor at pin0, None do_nothing, set_value_244 Temperature sensor at pin0, None do_nothing, set_value_434 Temperature sensor at pin0, None do_nothing, None do_nothing, None do_nothing",89.28571428571429,75
LoveOMeter.py,12,10,8,69,13.032490968704224,"[(30, 214), (494, 72), (742, 1387), (1718, 1512), (1789, 792), (1117, 1431), (447, 801), (1673, 1172), (1074, 1386), (153, 2001), (794, 607), (1805, 1178)]","None do_nothing, None do_nothing, None do_nothing, None do_nothing, set_value_792 Temperature sensor at pin0, set_value_407 Temperature sensor at pin0, set_value_801 Temperature sensor at pin0, set_value_148 Temperature sensor at pin0, None do_nothing, set_value_977 Temperature sensor at pin0, None do_nothing, set_value_154 Temperature sensor at pin0",100.0,100
LoveOMeter.py,12,10,9,31,6.014580965042114,"[(483, 1041), (820, 1387), (225, 104), (1351, 1175), (2037, 1417), (597, 155), (853, 1299), (873, 287), (1527, 1512), (569, 1189), (387, 282), (339, 140)]","set_value_17 Temperature sensor at pin0, None do_nothing, set_value_104 Temperature sensor at pin0, set_value_151 Temperature sensor at pin0, set_value_393 Temperature sensor at pin0, set_value_155 Temperature sensor at pin0, set_value_275 Temperature sensor at pin0, set_value_287 Temperature sensor at pin0, set_value_488 Temperature sensor at pin0, set_value_165 Temperature sensor at pin0, set_value_282 Temperature sensor at pin0, set_value_140 Temperature sensor at pin0",100.0,100
