filename,ui_length,pp_size,seed,generations,time_taken,genotype,phenotype
IfStatementConditional.py,3,10,0,0,0.01047515869140625,"[(1577, 1722), (165, 1060), (1990, 1658)]","set_value_698 Potentialmeter sensor at pin0, set_value_36 Potentialmeter sensor at pin0, None do_nothing"
IfStatementConditional.py,3,10,1,0,0.01708364486694336,"[(550, 258), (1044, 482), (2029, 1841)]","None do_nothing, None do_nothing, set_value_817 Potentialmeter sensor at pin0"
IfStatementConditional.py,3,10,2,0,0.011401653289794922,"[(231, 375), (347, 1478), (692, 1262)]","set_value_375 Potentialmeter sensor at pin0, set_value_454 Potentialmeter sensor at pin0, None do_nothing"
IfStatementConditional.py,3,10,3,0,0.022440195083618164,"[(974, 534), (1515, 1941), (268, 53)]","None do_nothing, set_value_917 Potentialmeter sensor at pin0, None do_nothing"
IfStatementConditional.py,3,10,4,0,0.01940464973449707,"[(966, 1242), (422, 1622), (1961, 634)]","None do_nothing, None do_nothing, set_value_634 Potentialmeter sensor at pin0"
IfStatementConditional.py,3,10,5,0,0.02639293670654297,"[(642, 463), (1522, 1921), (1009, 1559)]","None do_nothing, None do_nothing, set_value_535 Potentialmeter sensor at pin0"
IfStatementConditional.py,3,10,6,0,0.020203828811645508,"[(330, 1986), (1071, 150), (1, 596)]","None do_nothing, set_value_150 Potentialmeter sensor at pin0, set_value_596 Potentialmeter sensor at pin0"
IfStatementConditional.py,3,10,7,0,0.03418254852294922,"[(507, 914), (253, 1624), (203, 905)]","set_value_914 Potentialmeter sensor at pin0, set_value_600 Potentialmeter sensor at pin0, set_value_905 Potentialmeter sensor at pin0"
IfStatementConditional.py,3,10,8,0,0.017383098602294922,"[(928, 1517), (1537, 517), (791, 179)]","None do_nothing, set_value_517 Potentialmeter sensor at pin0, set_value_179 Potentialmeter sensor at pin0"
IfStatementConditional.py,3,10,9,0,0.024228334426879883,"[(1385, 1899), (331, 1368), (167, 1552)]","set_value_875 Potentialmeter sensor at pin0, set_value_344 Potentialmeter sensor at pin0, set_value_528 Potentialmeter sensor at pin0"
IfStatementConditional.py,3,10,0,0,0.011420488357543945,"[(1577, 1722), (165, 1060), (1990, 1658)]","set_value_698 Potentialmeter sensor at pin0, set_value_36 Potentialmeter sensor at pin0, None do_nothing"
IfStatementConditional.py,3,10,1,0,0.013577699661254883,"[(550, 258), (1044, 482), (2029, 1841)]","None do_nothing, None do_nothing, set_value_817 Potentialmeter sensor at pin0"
IfStatementConditional.py,3,10,2,0,0.009699821472167969,"[(231, 375), (347, 1478), (692, 1262)]","set_value_375 Potentialmeter sensor at pin0, set_value_454 Potentialmeter sensor at pin0, None do_nothing"
IfStatementConditional.py,3,10,3,0,0.014482259750366211,"[(974, 534), (1515, 1941), (268, 53)]","None do_nothing, set_value_917 Potentialmeter sensor at pin0, None do_nothing"
IfStatementConditional.py,3,10,4,0,0.013441801071166992,"[(966, 1242), (422, 1622), (1961, 634)]","None do_nothing, None do_nothing, set_value_634 Potentialmeter sensor at pin0"
IfStatementConditional.py,3,10,5,0,0.02172565460205078,"[(642, 463), (1522, 1921), (1009, 1559)]","None do_nothing, None do_nothing, set_value_535 Potentialmeter sensor at pin0"
IfStatementConditional.py,3,10,6,0,0.021384239196777344,"[(330, 1986), (1071, 150), (1, 596)]","None do_nothing, set_value_150 Potentialmeter sensor at pin0, set_value_596 Potentialmeter sensor at pin0"
IfStatementConditional.py,3,10,7,0,0.040265560150146484,"[(507, 914), (253, 1624), (203, 905)]","set_value_914 Potentialmeter sensor at pin0, set_value_600 Potentialmeter sensor at pin0, set_value_905 Potentialmeter sensor at pin0"
IfStatementConditional.py,3,10,8,0,0.017116308212280273,"[(928, 1517), (1537, 517), (791, 179)]","None do_nothing, set_value_517 Potentialmeter sensor at pin0, set_value_179 Potentialmeter sensor at pin0"
IfStatementConditional.py,3,10,9,0,0.02539372444152832,"[(1385, 1899), (331, 1368), (167, 1552)]","set_value_875 Potentialmeter sensor at pin0, set_value_344 Potentialmeter sensor at pin0, set_value_528 Potentialmeter sensor at pin0"
