filename,ui_length,pp_size,seed,generations,time_taken,genotype,phenotype
WarmButton.py,12,10,0,63,12.067525386810303,"[(5, 653), (827, 428), (1999, 1442), (907, 154), (513, 548), (1223, 912), (1070, 1128), (949, 1173), (1547, 657), (1591, 1204), (1402, 2011), (1008, 2041)]","unpress BTN at pin1, press BTN at pin1, set_value_418 Temperature sensor at pin0, set_value_154 Temperature sensor at pin0, None do_nothing, press BTN at pin1, press BTN at pin1, set_value_149 Temperature sensor at pin0, unpress BTN at pin1, set_value_180 Temperature sensor at pin0, set_value_987 Temperature sensor at pin0, None do_nothing"
WarmButton.py,12,10,1,53,10.175445318222046,"[(862, 150), (34, 155), (891, 1887), (148, 1286), (1264, 1803), (873, 710), (1927, 1464), (770, 1058), (445, 1038), (856, 1768), (85, 923), (73, 1627)]","set_value_150 Temperature sensor at pin0, set_value_155 Temperature sensor at pin0, None do_nothing, set_value_262 Temperature sensor at pin0, set_value_779 Temperature sensor at pin0, None do_nothing, set_value_440 Temperature sensor at pin0, press BTN at pin1, set_value_14 Temperature sensor at pin0, set_value_744 Temperature sensor at pin0, set_value_923 Temperature sensor at pin0, set_value_603 Temperature sensor at pin0"
WarmButton.py,12,10,2,82,15.582440376281738,"[(13, 1753), (1375, 94), (100, 1902), (1397, 296), (352, 153), (326, 1015), (307, 151), (881, 1552), (991, 1281), (1729, 6), (628, 1936), (923, 382)]","set_value_729 Temperature sensor at pin0, set_value_94 Temperature sensor at pin0, set_value_878 Temperature sensor at pin0, press BTN at pin1, set_value_153 Temperature sensor at pin0, unpress BTN at pin1, set_value_151 Temperature sensor at pin0, press BTN at pin1, set_value_257 Temperature sensor at pin0, set_value_6 Temperature sensor at pin0, set_value_912 Temperature sensor at pin0, press BTN at pin1"
WarmButton.py,12,10,3,100,18.305717706680298,"[(194, 228), (957, 2014), (30, 1996), (259, 1974), (1070, 1131), (1240, 1181), (1650, 91), (2041, 1179), (811, 1180), (83, 1868), (1534, 763), (1436, 1731)]","press BTN at pin1, None do_nothing, None do_nothing, set_value_950 Temperature sensor at pin0, unpress BTN at pin1, set_value_157 Temperature sensor at pin0, None do_nothing, set_value_155 Temperature sensor at pin0, set_value_156 Temperature sensor at pin0, press BTN at pin1, set_value_763 Temperature sensor at pin0, unpress BTN at pin1"
WarmButton.py,12,10,4,100,18.28467035293579,"[(167, 320), (1780, 289), (480, 1222), (1019, 728), (676, 1303), (1146, 365), (1093, 149), (183, 1963), (799, 1695), (1735, 1180), (1774, 1592), (1136, 1695)]","press BTN at pin1, set_value_289 Temperature sensor at pin0, None do_nothing, press BTN at pin1, set_value_279 Temperature sensor at pin0, None do_nothing, set_value_149 Temperature sensor at pin0, None do_nothing, set_value_671 Temperature sensor at pin0, set_value_156 Temperature sensor at pin0, set_value_568 Temperature sensor at pin0, unpress BTN at pin1"
WarmButton.py,12,10,5,100,18.78730034828186,"[(31, 437), (655, 1806), (505, 1317), (595, 152), (228, 849), (110, 1278), (581, 680), (1428, 1849), (1954, 1158), (556, 1307), (703, 1723), (1187, 441)]","set_value_437 Temperature sensor at pin0, set_value_782 Temperature sensor at pin0, set_value_293 Temperature sensor at pin0, set_value_152 Temperature sensor at pin0, None do_nothing, press BTN at pin1, press BTN at pin1, None do_nothing, set_value_134 Temperature sensor at pin0, set_value_283 Temperature sensor at pin0, set_value_699 Temperature sensor at pin0, unpress BTN at pin1"
WarmButton.py,12,10,6,36,6.848315715789795,"[(140, 384), (279, 1126), (881, 1090), (124, 1742), (1146, 1122), (1002, 549), (1963, 133), (1235, 843), (562, 149), (259, 644), (730, 1178), (1228, 1198)]","press BTN at pin1, None do_nothing, press BTN at pin1, set_value_718 Temperature sensor at pin0, None do_nothing, None do_nothing, set_value_133 Temperature sensor at pin0, unpress BTN at pin1, set_value_149 Temperature sensor at pin0, set_value_644 Temperature sensor at pin0, set_value_154 Temperature sensor at pin0, set_value_174 Temperature sensor at pin0"
WarmButton.py,12,10,7,41,7.901122570037842,"[(114, 1144), (1186, 1716), (358, 1177), (791, 1921), (1254, 482), (113, 192), (1957, 26), (985, 371), (1738, 242), (1030, 1007), (292, 149), (592, 1104)]","None do_nothing, set_value_692 Temperature sensor at pin0, set_value_153 Temperature sensor at pin0, unpress BTN at pin1, None do_nothing, press BTN at pin1, set_value_26 Temperature sensor at pin0, set_value_371 Temperature sensor at pin0, set_value_242 Temperature sensor at pin0, set_value_1007 Temperature sensor at pin0, set_value_149 Temperature sensor at pin0, set_value_80 Temperature sensor at pin0"
WarmButton.py,12,10,8,97,18.36984944343567,"[(236, 46), (286, 1182), (389, 139), (911, 336), (475, 1173), (1999, 608), (1174, 1179), (347, 458), (1079, 133), (494, 1226), (1225, 1542), (1499, 12)]","press BTN at pin1, set_value_158 Temperature sensor at pin0, unpress BTN at pin1, press BTN at pin1, set_value_149 Temperature sensor at pin0, set_value_608 Temperature sensor at pin0, set_value_155 Temperature sensor at pin0, press BTN at pin1, unpress BTN at pin1, press BTN at pin1, set_value_518 Temperature sensor at pin0, press BTN at pin1"
WarmButton.py,12,10,9,27,5.2405126094818115,"[(59, 366), (930, 1374), (762, 26), (1351, 1175), (676, 19), (860, 838), (22, 1188), (873, 287), (927, 1562), (308, 1367), (346, 1316), (958, 1176)]","press BTN at pin1, None do_nothing, None do_nothing, set_value_151 Temperature sensor at pin0, set_value_19 Temperature sensor at pin0, press BTN at pin1, set_value_164 Temperature sensor at pin0, None do_nothing, None do_nothing, unpress BTN at pin1, set_value_292 Temperature sensor at pin0, set_value_152 Temperature sensor at pin0"
